project_id,hist_exchange_rate(usd)
3251198,7.9583093021
3327237,1.0
3641699,1.0
522195,1.0
3399259,19.0145551632
1022857,0.7338372349
1988260,1.0
1076663,1.0
1903925,1.0
2470770,0.7528513696
648877,1.0
2746020,1.0
3474592,1.0
1294551,1.0
3704599,9.629616382
1575879,1.0
795464,1.0
3094529,1.2795881902
3454459,1.0
3694742,1.3817218781
437608,1.0
3363534,1.0
731204,1.0
3146108,1.0
1060415,1.0
3323303,1.0
2818547,1.0
3097138,0.7498779975
3409774,1.0
3693462,1.0
3221866,1.0
2408725,1.0
1513537,1.0
2141894,0.9423294384
1047324,1.0
2073533,1.0
2220916,1.0
3304281,1.0
3129923,1.0
1530186,1.0
2559633,1.0
1361245,1.0
2518313,1.0
3544454,1.0
1062179,0.5840230565
2723817,1.0
3136912,0.8587376556
1889196,1.0
1219343,0.5991559606
1126003,1.0
2192917,1.0
2675848,1.0
1935865,1.2984703281
2089879,1.0
3442926,1.0
2615814,1.0
43211,1.0
3518419,1.3621442291
2259137,1.4133235186
2848589,0.8236572289
3469451,9.0470650449
3538243,0.7641751437
3545201,0.7593678865
2717146,1.0
3375747,1.2916739093
3710167,1.0
1255892,1.0
1165099,1.0
1713794,1.0
3469068,1.0
885790,1.0
2356354,1.0
2540890,1.0
1103778,0.5939557151
2858848,0.8440243079
3032735,1.0
2157816,1.0
3360063,1.0
2404906,0.876501008
2880884,1.0
336471,1.0
1550169,1.0
2227363,0.6714913888
1560424,1.0
3279145,1.0
3461118,1.0
2856843,1.0
2053203,1.0
2882597,1.0
2407296,1.0
1442576,1.0
2834087,1.0
3444832,1.3008811703
13881,1.0
1547364,1.0
3490390,1.0
2948316,1.0
2939227,1.0
2842174,1.3078873239
3183506,1.0
2517709,0.7048797863
2622948,1.0
3161074,1.2874211191
3067053,0.7468914111
3279748,1.0
1460023,1.0
3149034,1.0
1831531,1.0
3321466,1.0
3675780,1.3541611037
3483095,0.7672571831
2791527,1.3046382538
3435511,1.0
3494679,1.0
3494183,7.8491664461
2559078,1.3176460002
2830110,1.0
3041788,1.0
1715016,1.0
3046189,1.0
2651426,1.0
3548323,1.4159957533
3452287,0.7612325362
2197227,1.0
2259995,1.0
3335609,1.0
3666468,1.0
1676625,1.0
1022086,1.0
1187997,1.0
2179652,1.0
2644992,0.8054423694
2001405,0.6483848065
3030990,1.0
1730100,1.0
2761099,1.0
2164942,1.0
1642155,1.0
3644295,1.0
1022841,1.0887281317
2374516,0.6955074137
2917573,1.2736564177
3689062,1.0
68716,1.0
37870,1.0
1718877,1.0
1095106,1.0
1818211,1.0
467228,1.0
2179647,1.0
1599633,0.6755309326
3425595,1.3654259434
3340266,1.0
3098511,1.0
3024039,1.0
3479902,0.7801423425
2507063,1.0
3661723,1.0
138273,1.0
2475567,1.0
3439324,1.0
2482218,1.0
53571,1.0
52254,1.0
3501447,1.0
508695,1.0
2649865,1.0
1621307,1.0
3682128,1.0
2112744,1.0
2163304,1.0
1117794,1.0
835795,1.0
2708289,1.0
1965430,0.8926180487
3507830,1.0
3505020,1.3220324287
3379336,0.7526013049
3446092,7.8346374544
3454987,1.0
2975787,18.4743658449
3195808,0.8445945946
3659260,1.0
3150806,1.0
1772275,0.6567890314
3473791,1.0
2548344,1.0
3529643,1.0
3150915,0.7583601286
3060886,1.0
2813406,1.0
3267940,1.0
1516576,1.0
3272183,0.7150174811
3156910,1.0
2987640,1.0
2350821,1.0
6710,1.0
3406476,0.770607525
3657315,1.0
1379829,1.0
1068092,1.0
2869153,1.3371587228
3687891,1.0
3483960,1.0
1818438,1.0
1175999,1.0
3691251,0.8914244963
3504978,1.0
1197008,1.0
3287679,1.0
2867076,1.0
1513959,1.0
1373118,1.0
3488837,0.8880206021
3415488,0.8795074758
3650651,1.0
1371824,1.0
3478120,1.0
3235098,1.0
3546546,0.7609739009
880643,1.0
2322547,1.0
1285822,1.0
3657617,1.0
3641607,1.0
2379043,1.0
3251225,0.7232365145
3482430,1.0
3680853,0.8954956568
3549172,1.0
1898504,1.2303030303
2364318,1.0
3166861,18.6154752884
1574051,0.6400900901
2606769,1.0
3194248,0.988395731
2646042,1.0
3532487,0.7849236141
1670456,0.6475088968
2556159,1.0
2855477,1.0
2894842,1.0
3536764,1.0
3702537,1.4335745555
1224263,1.0
1908198,1.0
3050055,1.0
3031121,1.0
2901659,1.3427714232
1717400,1.0
1932998,1.5262191202
1065715,0.5841118058
3548849,1.0
1715210,1.0
2017470,1.3536836452
2508543,0.6915101825
3506130,1.3174686651
1066028,0.5841118058
1062108,1.0760146498
3552858,0.7553501946
1365887,1.0
2085570,1.0
3503657,1.0
2537462,1.0
3660343,9.2658821448
3144817,1.0
1505082,1.0
2476772,1.0
605339,1.0
3456113,1.0
348287,1.0
2017098,1.0
1463326,1.0
1978972,0.64201696
2901432,0.9407337723
1470764,1.0
2932490,1.0
3519048,1.3367427916
1897376,0.633791503
2432634,1.3005602747
2822967,1.0
3408884,0.7664524422
1907984,1.0
463535,1.0
3268985,1.0
2996228,1.0
1123962,1.0
219527,1.0
3508458,1.0
1468864,1.0
455641,1.0
2243371,0.6651903505
2241316,1.0
3070456,1.0
3398244,1.0
1895070,1.0
3047012,0.7656168208
3074515,1.0
1875394,1.0
668949,0.6341573711
2688073,1.0
3526418,1.0
46757,1.0
3339756,1.0
3416133,1.0
77117,1.0
2556493,1.0
3645101,7.8487770041
1707132,1.2019616585
2908285,0.7758478081
2297401,1.3078412391
3550243,1.0
3183939,0.7637096774
3494289,0.8750437522
3417193,0.7697869761
3545824,0.7518833217
3357923,1.0
620230,1.0
3316544,1.0
3488981,1.0
3319258,112.5966193833
327027,1.0
1954694,1.0
58824,1.0
2641750,1.0
1999249,0.6567606393
2414639,1.0
3480082,1.0
3685873,1.0
3401122,1.0
1328779,1.2720025259
2921878,1.0
1882014,1.0
1633287,1.0
2389966,0.7128440367
1906666,0.6359093343
2838908,1.3472611703
3147510,1.0
3123453,1.0
1905693,1.0
526701,1.0
2770927,1.0
2798092,0.929800093
897288,1.0
970178,1.0667635307
2446443,1.0
1387812,1.0
2987163,1.0
1655019,1.0
781606,0.6146281052
711147,1.0
3303149,1.0
3514937,1.0
65751,1.0
1438403,1.0
210269,1.0
1417740,1.0
2445378,1.0
291344,1.0
1034663,1.0
1377673,1.0
1473112,1.0
3386158,7.8494357045
3416005,1.0
1640392,1.0
1711466,0.6837566338
3675861,1.4192825112
3524313,1.0
3534278,1.0
3039526,1.0
2923093,1.0
2933778,1.0
944472,1.0
1533113,1.0
3072366,1.0
1546284,1.0
3665507,1.0
3102197,1.0
2662554,1.0
1176843,1.0900059755
1815962,0.661800037
1756035,1.0
2944615,1.0
1797214,1.0
3047628,1.0
406468,1.0
2274032,1.0
2746385,1.0
3355752,0.7820365119
1824187,0.6711791616
740258,1.0
2978840,1.0
71997,1.0
868457,1.0
3342043,0.7498072805
1397627,0.79377679
2973538,1.0
634901,1.0
3690934,1.0
1286420,1.0
781664,1.0
2993175,1.0
1990973,1.3414943779
3679507,1.0
869305,1.0
27275,1.0
3496086,1.3325062035
930993,1.0
2610100,1.0
2636486,0.895977063
2750680,1.0
544948,1.0
3103905,0.7724412752
532907,1.0
3082608,1.0
34409,1.0
1929843,1.0
3436230,0.7833903359
1840269,0.6458019328
1967655,1.0
87929,1.0
1612197,1.0
2320475,0.6871540796
3675142,0.8990380293
715842,0.6260921072
3670426,0.7553501946
1483078,1.0
3486897,1.0
1640109,1.0
2134214,0.6557182068
3215517,1.0
52773,1.0
1945115,1.0
1352292,0.6261977004
